"source_type","record_id","title","category","publish_date","url","document_url","venue","location","content"
"event","event-44678","Council Meeting – First Budget Meeting","Village of Estero Event","2026-09-09","https://esterotoday.com/event/council-meeting-budget-meeting-tentative-date/","","Village of Estero","9401 Corkscrew Palms Circle","Village meetings are held at the Village Hall at 9401 Corkscrew Palms Blvd in Chambers. Residents who wish to comment during the meeting should complete a Public Comment Card. E-comment forms are also available before meetings and must be returned by noon the day before the meeting. The full agendas and supporting documents can be viewed approximately one week prior to each meeting at https://estero-fl.gov/meetings ."
"event","event-223872","Sand Dollar Snapshot by Clerk Karnes at Food for Thought Luncheon","Business; Networking","2026-09-10","https://esterotoday.com/event/sand-dollar-snapshot-by-clerk-karnes-at-food-for-thought-luncheon/","","Embassy Suites Estero, 10450 Corkscrew Commons Dr, Estero, FL 33928","","Transparency, Innovation & Leadership in Action! Join the Greater Estero Chamber of Commerce for our September Food for Thought Luncheon featuring Kevin C. Karnes, Lee County Clerk of Circuit Court and Comptroller, who will share how his office is bringing greater transparency to local government through the Sand Dollar Snapshot initiative. Learn how this interactive tool gives the public an inside look at government spending across local agencies, promoting accountability, accessibility, and trust within the community. Attendees will gain insight into how openness and transparency can strengthen organizations and inspire stronger connections with the communities they serve. This informative luncheon is a great opportunity to hear from a local leader making an impact, connect with fellow business professionals and community leaders, and enjoy a delicious buffet lunch prepared by the talented culinary team at Embassy Suites Estero. 📅 Thursday, September 10 ⏰ 11:30 AM – 1:00 PM 📍 Embassy Suites Estero 10450 Corkscrew Commons Dr, Estero, FL 33928 🎟 Tickets: $30 for Chamber Members $40 for Non-Members Get your tickets here: https://business.esterochamber.org/events/"
"event","event-44711","Planning Zoning & Design Board Meeting","Village of Estero Event","2026-09-15","https://esterotoday.com/event/planning-zoning-design-board-meeting-32/","","Village of Estero","9401 Corkscrew Palms Circle","Village meetings are held at the Village Hall at 9401 Corkscrew Palms Blvd in Chambers. Residents who wish to comment during the meeting should complete a Public Comment Card. E-comment forms are also available before meetings and must be returned by noon the day before the meeting. The full agendas and supporting documents can be viewed approximately one week prior to each meeting at https://estero-fl.gov/meetings ."
"event","event-223684","Our Waters, Our Vote SWFL Water Summit 2026","Environment","2026-09-19","https://esterotoday.com/event/our-waters-our-vote-swfl-water-summit-2026/","","Collaboratory","2031 Jackson Street",""
"event","event-44680","Council Meeting – Final Budget Meeting","Village of Estero Event","2026-09-23","https://esterotoday.com/event/council-meeting-budget-meeting-tentative-date-2/","","Village of Estero","9401 Corkscrew Palms Circle","Village meetings are held at the Village Hall at 9401 Corkscrew Palms Blvd in Chambers. Residents who wish to comment during the meeting should complete a Public Comment Card. E-comment forms are also available before meetings and must be returned by noon the day before the meeting. The full agendas and supporting documents can be viewed approximately one week prior to each meeting at https://estero-fl.gov/meetings ."
"event","event-47801","East Corkscrew Education and Community Survey: a Joint Community Meeting of Engage Estero and the East Corkscrew Alliance","Engage Estero Event","2026-09-24","https://esterotoday.com/event/joint-community-meeting-with-east-corkscrew-alliance/","","Estero Fire Rescue Station 45","18743 Corkscrew Rd","Engage Estero and the East Corkscrew Alliance will host a joint community meeting on Thursday, September 24th, 2026, at 6 pm at the Estero Fire Rescue Station 45 (18743 Corkscrew Rd, Estero, FL 33928 – (Across from Verdana Village). Featured Speakers include: Engage Estero President Allan Bowditch will present the results of the recent East Corkscrew survey. Nick Cameratta of Cameratta Companies will introduce the K-12 Charter school coming to Kingston. True North Classical Academy will present its plan for a K-12, 3100 student charter school in Kingston. The meeting is free and open to the public. Seating is limited, so reservations are required. We invite anyone with an interest in East Corkscrew, and particularly the future of education in the area, to take advantage of this opportunity hear directly from those involved and ask your questions. Engage Estero is a non-profit community engagement association working to inform, engage, and impact the greater Estero area. The East Corkscrew Alliance is a community organization aimed at representing and sharing important information about the quickly developing area along the eastern portion of Corkscrew Road. RSVP REQUIRED"
"event","event-44683","Council Meeting","Village of Estero Event","2026-10-07","https://esterotoday.com/event/council-meeting-11/","","Village of Estero","9401 Corkscrew Palms Circle","Village meetings are held at the Village Hall at 9401 Corkscrew Palms Blvd in Chambers. Residents who wish to comment during the meeting should complete a Public Comment Card. E-comment forms are also available before meetings and must be returned by noon the day before the meeting. The full agendas and supporting documents can be viewed approximately one week prior to each meeting at https://estero-fl.gov/meetings ."
"event","event-44714","Planning Zoning & Design Board Meeting","Village of Estero Event","2026-10-20","https://esterotoday.com/event/planning-zoning-design-board-meeting-33/","","Village of Estero","9401 Corkscrew Palms Circle","Village meetings are held at the Village Hall at 9401 Corkscrew Palms Blvd in Chambers. Residents who wish to comment during the meeting should complete a Public Comment Card. E-comment forms are also available before meetings and must be returned by noon the day before the meeting. The full agendas and supporting documents can be viewed approximately one week prior to each meeting at https://estero-fl.gov/meetings ."
"event","event-47817","County & Village Perspectives on Greater Estero’s Future","Engage Estero Event","2026-10-22","https://esterotoday.com/event/oct2026/","","South County Regional Library","","Engage Estero is pleased to host “County & Village Perspectives on Greater Estero’s Future” on Thursday, October 22, 2026 starting at 2 pm at the South County Regional Library, 21100 Three Oaks Parkway, Estero. Lee County Commissioner David Mulicka and Estero’s Mayor Joanne Ribble will be available for residents to speak with our local leaders as they discuss their respective roles in “Guiding Estero Forward.” Both individuals are extremely busy, and Engage Estero is extremely appreciative that they have agreed to speak with residents on this topic. Commissioner Mulicka has been a member of the Lee County commissioners since November 2024. He has been a lifelong resident here in Southwest Florida and emphasizes the importance of listening and learning the nuances of what matters to residents in each community. David will discuss his role, together with: • Some of the successes that have helped residents in Estero • Some of the difficulties Commissioners face • Property tax • Potential future benefits for Estero Estero Mayor Joanne Ribble has been a resident of The Colony in Pelican Landing since 2007. She has served as co-chair of the Pelican Landing Unit Owners Committee, on the Pelican Landing Board of Directors, and as President. She is a member of the Florida League of Nations and supports many organizations through her philanthropy. Her role as Mayor of Estero runs from 2025 to 2029. Joaanne, in her talk, will address the exciting social and cultural developments that will enhance what Estero can offer residents and visitors alike in the coming years. It's your chance to hear from two key Community Leaders, learn their views on principal issues affecting many in Greater Estero, and get your questions answered. Because seating is limited to 80 and interest in the meeting is likely to be high, please register your intention to attend as soon as possible. RSVP"
"event","event-44686","Council Meeting","Village of Estero Event","2026-10-28","https://esterotoday.com/event/council-meeting-12/","","Village of Estero","9401 Corkscrew Palms Circle","Originally scheduled for 10-21-2026, this meeting was moved to 10-28-2026. Village meetings are held at the Village Hall at 9401 Corkscrew Palms Blvd in Chambers. Residents who wish to comment during the meeting should complete a Public Comment Card. E-comment forms are also available before meetings and must be returned by noon the day before the meeting. The full agendas and supporting documents can be viewed approximately one week prior to each meeting at https://estero-fl.gov/meetings ."
"event","event-44688","Council Meeting","Village of Estero Event","2026-11-04","https://esterotoday.com/event/council-meeting-13/","","Village of Estero","9401 Corkscrew Palms Circle","Village meetings are held at the Village Hall at 9401 Corkscrew Palms Blvd in Chambers. Residents who wish to comment during the meeting should complete a Public Comment Card. E-comment forms are also available before meetings and must be returned by noon the day before the meeting. The full agendas and supporting documents can be viewed approximately one week prior to each meeting at https://estero-fl.gov/meetings ."
"event","event-223700","Orange Blossom Express Dinner","Arts; Community","2026-11-04","https://esterotoday.com/event/orange-blossom-express-dinner/","","Copperleaf Golf Club, 23101 Copperleaf Blvd, Estero","","Climb aboard the Orange Blossom Express Dinner at Copperleaf Golf Club – an evening of great food, local history, and a taste of Old Florida featuring historian Jacob Winge, who will bridge the dinner courses with tales of travel in Florida. The journey begins with Cocktail Hour at 5:00 pm on Wednesday, November 4, 2026 followed by a multi-course meal from the chefs at Copperleaf Golf Club, located at 23101 Copperleaf Blvd., Estero. Inspired by the original menu from the Orange Blossom Express, this dinner will be a delight to all the senses. Tickets are $85 per person and the deadline for reservation in October 30, 2026. Get your tickets online at https://esterohistoricalsociety.com/events/ The Dinner benefits the Estero Historical Society, a 501(c)3 organization dedicated to preserving and sharing the history of our unique greater Estero area, and depends on volunteers and donations for projects such as the relocation and restoration of the Alvarez/Smith Home. Find out more about us at www.EsteroHistoricalSociety.com"
"event","event-44716","Planning Zoning & Design Board Meeting","Village of Estero Event","2026-11-17","https://esterotoday.com/event/planning-zoning-design-board-meeting-34/","","Village of Estero","9401 Corkscrew Palms Circle","Village meetings are held at the Village Hall at 9401 Corkscrew Palms Blvd in Chambers. Residents who wish to comment during the meeting should complete a Public Comment Card. E-comment forms are also available before meetings and must be returned by noon the day before the meeting. The full agendas and supporting documents can be viewed approximately one week prior to each meeting at https://estero-fl.gov/meetings ."
"event","event-44690","Council Meeting","Village of Estero Event","2026-11-18","https://esterotoday.com/event/council-meeting-14/","","Village of Estero","9401 Corkscrew Palms Circle","Village meetings are held at the Village Hall at 9401 Corkscrew Palms Blvd in Chambers. Residents who wish to comment during the meeting should complete a Public Comment Card. E-comment forms are also available before meetings and must be returned by noon the day before the meeting. The full agendas and supporting documents can be viewed approximately one week prior to each meeting at https://estero-fl.gov/meetings ."
"event","event-44692","Council Meeting","Village of Estero Event","2026-12-02","https://esterotoday.com/event/council-meeting-15/","","Village of Estero","9401 Corkscrew Palms Circle","Village meetings are held at the Village Hall at 9401 Corkscrew Palms Blvd in Chambers. Residents who wish to comment during the meeting should complete a Public Comment Card. E-comment forms are also available before meetings and must be returned by noon the day before the meeting. The full agendas and supporting documents can be viewed approximately one week prior to each meeting at https://estero-fl.gov/meetings ."
"event","event-44718","Planning Zoning & Design Board Meeting","Village of Estero Event","2026-12-15","https://esterotoday.com/event/planning-zoning-design-board-meeting-35/","","Village of Estero","9401 Corkscrew Palms Circle","Village meetings are held at the Village Hall at 9401 Corkscrew Palms Blvd in Chambers. Residents who wish to comment during the meeting should complete a Public Comment Card. E-comment forms are also available before meetings and must be returned by noon the day before the meeting. The full agendas and supporting documents can be viewed approximately one week prior to each meeting at https://estero-fl.gov/meetings ."
"event","event-44660","Council Meeting","Village of Estero Event","2026-12-16","https://esterotoday.com/event/council-meeting-16/","","Village of Estero","9401 Corkscrew Palms Circle","Village meetings are held at the Village Hall at 9401 Corkscrew Palms Blvd in Chambers. Residents who wish to comment during the meeting should complete a Public Comment Card. E-comment forms are also available before meetings and must be returned by noon the day before the meeting. The full agendas and supporting documents can be viewed approximately one week prior to each meeting at https://estero-fl.gov/meetings ."
